"","V1","V2","V3","V4","V5"
"1",0.126865671641791,0.0970149253731343,0.134328358208955,0.529850746268657,0.111940298507463
"2",0.105454545454545,0.08,0.101818181818182,0.585454545454545,0.127272727272727
"3",0.105660377358491,0.0905660377358491,0.569811320754717,0.116981132075472,0.116981132075472
"4",0.117073170731707,0.278048780487805,0.365853658536585,0.121951219512195,0.117073170731707
"5",0.360655737704918,0.239344262295082,0.163934426229508,0.0983606557377049,0.137704918032787
"6",0.0863095238095238,0.0714285714285714,0.660714285714286,0.0982142857142857,0.0833333333333333
"7",0.113309352517986,0.627697841726619,0.0683453237410072,0.0773381294964029,0.113309352517986
"8",0.174757281553398,0.111650485436893,0.456310679611651,0.106796116504854,0.150485436893204
"9",0.624229979466119,0.137577002053388,0.0574948665297741,0.0595482546201232,0.121149897330595
"10",0.0969827586206897,0.0926724137931035,0.0775862068965517,0.0581896551724138,0.674568965517241
"11",0.157575757575758,0.393939393939394,0.13030303030303,0.118181818181818,0.2
"12",0.137362637362637,0.101648351648352,0.142857142857143,0.510989010989011,0.107142857142857
"13",0.200873362445415,0.091703056768559,0.305676855895196,0.305676855895196,0.0960698689956332
"14",0.148936170212766,0.0824468085106383,0.143617021276596,0.398936170212766,0.226063829787234
